system:index,area,band,class,class_name,lulc_class_name,unit,.geo
0_0_0,57.55682763262932,classification_2021,0,Other,Non Observed,kilometers^2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,17.16798019311525,classification_2021,3,Other,Forest Formation,kilometers^2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,0.050912300903320315,classification_2021,4,Other,Savanna Formation,kilometers^2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,0.24100525720214844,classification_2021,5,Other,Magrove,kilometers^2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,0.03127696020507813,classification_2021,6,Other,Áreas Naturales Inundables - Leñosas (Bosque Inundable),kilometers^2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,1.5403754390258786,classification_2021,9,Other,Forest Plantation,kilometers^2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,1.027750740539551,classification_2021,11,Other,Wetland,kilometers^2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,2.3518365046997056,classification_2021,12,Other,"Grassland (Pastizal, Formación Herbácea)",kilometers^2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_8,0.5528729365844725,classification_2021,15,Other,Pasture,kilometers^2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_9,12.662480333007801,classification_2021,21,Other,Mosaic of Agriculture and Pasture,kilometers^2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_10,0.08720768524169922,classification_2021,23,Other,Beach and Dune,kilometers^2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_11,0.057583646911621086,classification_2021,24,Other,Urban Infrastructure,kilometers^2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_12,0.3807337760620116,classification_2021,25,Other,Other Non Vegetated Area,kilometers^2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_13,8.2467578125E-4,classification_2021,32,Other,Salt flat,kilometers^2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_14,14.308723003234862,classification_2021,33,Other,"River, Lake and Ocean",kilometers^2,"{""type"":""MultiPoint"",""coordinates"":[]}"
